,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
1817,15 may 2018,1.1932,1.194,1.1824,1.1931,1.1931,,0.1137673503251259
1556,15 may 2019,1.1204,1.1223,1.118,1.1204,1.1204,,0.11146677980456667
1295,15 may 2020,1.0806,1.085,1.0791,1.0807,1.0807,,0.044451231703963465
514,15 may 2023,1.0853,1.0892,1.0849,1.0853,1.0853,,0.04659150137095165
252,15 may 2024,1.0815,1.0874,1.0814,1.0815,1.0815,,0.04814145822468799
5311,15 nov 2004,1.299,1.2999,1.2922,1.294,1.294,,0.09184316523290939
5051,15 nov 2005,1.1692,1.1737,1.1648,1.1732,1.1732,,0.09314753351538387
4790,15 nov 2006,1.2814,1.2834,1.2782,1.2825,1.2825,,0.10266983490782385
4530,15 nov 2007,1.4653,1.4701,1.4611,1.4621,1.4621,,0.1430857889519439
3769,15 nov 2010,1.3696,1.3747,1.3592,1.3693,1.3693,,0.10745225451334445
3508,15 nov 2011,1.3627,1.3641,1.3513,1.3624,1.3624,,0.10826714644803674
3246,15 nov 2012,1.2729,1.2802,1.272,1.2732,1.2732,,0.07672532176537777
2987,15 nov 2013,1.3448,1.3503,1.3435,1.3449,1.3449,,0.06754736856459197
2205,15 nov 2016,1.0747,1.0817,1.0724,1.075,1.075,,0.12341443594653094
1945,15 nov 2017,1.1792,1.1859,1.1786,1.1793,1.1793,,0.12016165361711766
1685,15 nov 2018,1.1314,1.1351,1.1275,1.1312,1.1312,,0.10855711399995804
1425,15 nov 2019,1.1023,1.1056,1.1015,1.102,1.102,,0.10696843927065437
904,15 nov 2021,1.1442,1.1464,1.1417,1.1442,1.1442,,0.03992365213754151
643,15 nov 2022,1.0319,1.0475,1.0314,1.0319,1.0319,,0.0554237945290591
382,15 nov 2023,1.0878,1.0887,1.0833,1.0878,1.0878,,0.0439199499088881
120,15 nov 2024,1.053,1.0592,1.0524,1.053,1.053,,0.04369681910619059
5331,15 oct 2004,1.2391,1.25,1.2382,1.2479,1.2479,,0.0865789986082036
4553,15 oct 2007,1.4169,1.4243,1.4164,1.4204,1.4204,,0.16452189823850094
4312,15 oct 2008,1.3615,1.3682,1.343,1.3444,1.3444,,0.1590654896575622
4051,15 oct 2009,1.4942,1.4958,1.4935,1.4956,1.4956,,0.17153625855777702
3790,15 oct 2010,1.407,1.4148,1.3993,1.4072,1.4072,,0.0927430320832835
3269,15 oct 2012,1.2942,1.298,1.2898,1.2943,1.2943,,0.07678034904844473
3010,15 oct 2013,1.3557,1.3575,1.3482,1.3559,1.3559,,0.07631269226020614
2749,15 oct 2014,1.2644,1.284,1.2626,1.2639,1.2639,,0.09236691507244806
2488,15 oct 2015,1.1475,1.1494,1.1365,1.1476,1.1476,,0.09872267723274336
1708,15 oct 2018,1.1551,1.1606,1.1544,1.1551,1.1551,,0.09033525336212955
1448,15 oct 2019,1.1026,1.1045,1.0993,1.1029,1.1029,,0.10301597934301222
1186,15 oct 2020,1.1748,1.1761,1.169,1.1744,1.1744,,0.05927754212178257
925,15 oct 2021,1.1591,1.162,1.1589,1.1592,1.1592,,0.02695761487965109
143,15 oct 2024,1.0909,1.0918,1.0886,1.0909,1.0909,,0.03710114553486893
5353,15 sept 2004,1.2261,1.2263,1.2139,1.2157,1.2157,,0.05171602266222323
5093,15 sept 2005,1.2278,1.2286,1.2202,1.2236,1.2236,,0.05318874881024853
4833,15 sept 2006,1.2723,1.2737,1.2636,1.2651,1.2651,,0.0674441620898341
4334,15 sept 2008,1.4306,1.4474,1.4101,1.4269,1.4269,,0.12098895817387686
4073,15 sept 2009,1.4663,1.4675,1.4661,1.4671,1.4671,,0.11858643261351845
3812,15 sept 2010,1.2991,1.3036,1.2959,1.2992,1.2992,,0.10543257086878156
3551,15 sept 2011,1.3748,1.3928,1.3704,1.3746,1.3746,,0.08462468316041606
2771,15 sept 2014,1.2961,1.2969,1.2912,1.296,1.296,,0.07605546002754064
2510,15 sept 2015,1.1311,1.133,1.126,1.1308,1.1308,,0.12370953075652871
2248,15 sept 2016,1.1245,1.1282,1.1221,1.1247,1.1247,,0.11163390166074172
1988,15 sept 2017,1.1923,1.1986,1.1902,1.1922,1.1922,,0.10888267998171261
1208,15 sept 2020,1.1867,1.1901,1.1841,1.187,1.187,,0.06881873291480908
947,15 sept 2021,1.1804,1.1833,1.1801,1.1805,1.1805,,0.032552311745860624
686,15 sept 2022,0.9984,1.0018,0.9957,0.9984,0.9984,,0.08185287410958492
425,15 sept 2023,1.0637,1.0688,1.0635,1.0637,1.0637,,0.08835056875877759
5461,16 abr 2004,1.1988,1.2048,1.1931,1.2003,1.2003,,0.08996497651864027
4682,16 abr 2007,1.3578,1.3578,1.3529,1.3529,1.3529,,0.13660112737455601
4424,16 abr 2008,1.5784,1.5976,1.578,1.5958,1.5958,,0.23997070029484882
4181,16 abr 2009,1.3228,1.3267,1.3135,1.318,1.318,,0.19761663138511518
3920,16 abr 2010,1.3574,1.3575,1.348,1.3504,1.3504,,0.14400672553738875
3399,16 abr 2012,1.3057,1.3085,1.2997,1.3057,1.3057,,0.11983398099037232
3139,16 abr 2013,1.3052,1.3147,1.3031,1.3055,1.3055,,0.12473923600856653
2879,16 abr 2014,1.381,1.3852,1.3805,1.3812,1.3812,,0.03297351967868485
2618,16 abr 2015,1.0677,1.0762,1.0628,1.0677,1.0677,,0.12405400033856366
1838,16 abr 2018,1.2333,1.2394,1.2326,1.2333,1.2333,,0.11888192461430053
1577,16 abr 2019,1.1304,1.1315,1.1286,1.1305,1.1305,,0.12709432717474076
1316,16 abr 2020,1.0904,1.0908,1.083,1.0905,1.0905,,0.12883329538593585
1055,16 abr 2021,1.1971,1.1995,1.1951,1.1972,1.1972,,0.07012630034444702
273,16 abr 2024,1.0626,1.0654,1.0604,1.0626,1.0626,,0.07153360748626891
13,16 abr 2025,1.1293,1.139,1.1294,1.1293,1.1293,,0.05074738416903345
5375,16 ago 2004,1.2381,1.2381,1.2325,1.2359,1.2359,,0.0724156405757733
5115,16 ago 2005,1.237,1.2374,1.2306,1.235,1.235,,0.0749648250848339
4855,16 ago 2006,1.2789,1.2864,1.2775,1.2843,1.2843,,0.09074396398659157
4594,16 ago 2007,1.3427,1.3447,1.3383,1.3425,1.3425,,0.07845259715267638
3834,16 ago 2010,1.277,1.287,1.2736,1.2771,1.2771,,0.04409067928712694
3573,16 ago 2011,1.4438,1.4445,1.4358,1.4438,1.4438,,0.08079717198021544
3311,16 ago 2012,1.229,1.2371,1.2259,1.229,1.229,,0.08234077361793793
3051,16 ago 2013,1.3351,1.338,1.3319,1.3354,1.3354,,0.08067944595744668
2270,16 ago 2016,1.1184,1.1324,1.1179,1.1184,1.1184,,0.12105869650710882
2010,16 ago 2017,1.174,1.1758,1.1684,1.1741,1.1741,,0.130247717830295
